index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"Devonshire Square, Liverpool Street",533339.67,181475.1786,84,533339.67,181475.1786,16,0.0037126,200,5,44,2,4,17,5,0.00001,379.79134,8,0.00001,0.146948941,0.273972602,64.09495,0.064119368,0.031038513,5,2,0.00001,12,0.00001,2,0.12743
"Bayley Street , Bloomsbury",529699.1747,181617.6475,85,529699.1747,181617.6475,25,0.0080482,200,6,20,2,14,3,6,0.00001,774.58732,2,0.00001,0.144458281,0.349937733,3.14904,0.063211912,0.04538773,6,0.00001,2,7,0.00001,3,0.12053
"Tavistock Place, Bloomsbury",530273.3947,182478.3573,86,530273.3947,182478.3573,19,0.0045806,200,0.00001,2,0.00001,0.00001,0.00001,2,0.00001,3787.87211,0,0.00001,0.09339975,0.191780821,54.35823,0.023420571,0.034544246,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.10035
"Harrington Square 1, Camden Town",529158.2426,183208.8619,87,529158.2426,183208.8619,27,0.0035809,200,0.00001,1,0.00001,3,2,0.00001,0.00001,1935.36485,6,1,0.099626401,0.205479452,6.28446,0.028595299,0.035300307,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.12425
"Walnut Tree Walk, Vauxhall",531230.6372,178884.8284,88,531230.6372,178884.8284,20,0.0036663,200,0.00001,3,0.00001,0.00001,2,3,0.00001,1917.04855,3,0.00001,0.105853051,0.224159402,0.00001,0.015280872,0.046714327,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.1722
"Borough Road, Elephant & Castle",531948.1377,179495.8448,89,531948.1377,179495.8448,41,0.0092794,200,1,2,0.00001,0.00001,1,3,0.00001,1454.60635,4,0.00001,0.07845579,0.189290161,9.06892,0.030373256,0.03168622,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.22334
"Cloudesley Road, Angel",531256.3913,183417.4209,90,531256.3913,183417.4209,37,0.0076057,200,1,12,1,1,1,6,0.00001,1539.49403,5,0.00001,0.08592777,0.139476961,15.56614,0.005056829,0.027219696,1,0.00001,0.00001,4,0.00001,3,0.08722
"Bricklayers Arms, Borough",532975.367,179079.1506,91,532975.367,179079.1506,28,0.0031605,200,0.00001,9,2,0.00001,1,2,0.00001,1847.99425,7,0.00001,0.134495641,0.245330012,12.0276,0.02272146,0.051976818,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.10349
"Aldersgate Street, Barbican",532097.6201,181928.9461,92,532097.6201,181928.9461,15,0.0033606,200,0.00001,5,2,0.00001,5,8,1,2469.19894,5,1,0.179327521,0.341220423,3.93179,0.060054168,0.051680587,0.00001,0.00001,0.00001,2,1,0.00001,0.17936
"Falkirk Street, Hoxton",533372.735,183088.0691,93,533372.735,183088.0691,26,0.0049831,200,4,17,0.00001,0.00001,2,5,1,2220.61638,8,0.00001,0.05230386,0.178082191,2.82598,0.009794551,0.031200598,4,0.00001,0.00001,7,0.00001,0.00001,0.07371
"Gloucester Road (North), Kensington",526169.58,179228.1297,94,526169.58,179228.1297,18,0.0034799,200,0.00001,10,2,2,4,8,0.00001,2075.44933,3,0.00001,0.114570361,0.236612702,10.71994,0.015889848,0.031303686,0.00001,0.00001,0.00001,7,0.00001,1,0.09053
"Hampstead Road, Euston",529246.876,182368.9829,95,529246.876,182368.9829,54,0.0145285,200,3,11,1,0.00001,5,2,0.00001,1337.02056,11,2,0.139476961,0.285180572,11.03683,0.039728609,0.036664838,3,0.00001,0.00001,2,0.00001,1,0.55723
"Old Quebec Street, Marylebone",527896.5153,181125.5691,96,527896.5153,181125.5691,16,0.0030864,200,1,20,1,4,3,9,0.00001,788.01025,8,1,0.185554171,0.363636363,2.42575,0.057255764,0.047660667,1,0.00001,2,13,0.00001,2,0.18176
"Albert Embankment, Vauxhall",530421.4959,178502.4046,97,530421.4959,178502.4046,24,0.0042504,200,2,4,0.00001,1,0.00001,0.00001,0.00001,718.03735,4,0.00001,0.08343711,0.195516812,0.00001,0.028266911,0.031751658,2,0.00001,0.00001,2,0.00001,0.00001,0.22088
"Queen Street 1, Bank",532439.3403,180903.3188,98,532439.3403,180903.3188,22,0.0219575,200,0.00001,15,0.00001,8,6,2,0.00001,118.87331,9,3,0.410958904,0.483188044,5.16729,0.162685405,0.05929231,0.00001,0.00001,0.00001,7,0.00001,0.00001,0.2817
