index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"Naval Row, Blackwall",538401.696115114958957,180770.260324920003768,499.000000000000000,538401.696115114958957,180770.260324920003768,0.004654469767762,0.026151930261519,"21"
"Hoxton Station, Hoxton",533560.195725159952417,183107.817056737985695,500.000000000000000,533560.195725159952417,183107.817056737985695,0.021557006268188,0.113325031133250,"22"
"Albany Street, The Regent's Park",528821.443817641003989,182675.075806990003912,501.000000000000000,528821.443817641003989,182675.075806990003912,0.011515375900368,0.090909090909091,"27"
"Green Park Station, Mayfair",528985.068370325025171,180265.606821477995254,502.000000000000000,528985.068370325025171,180265.606821477995254,0.080364419373493,0.201743462017435,"28"
"Salmon Lane, Limehouse",536533.410734992008656,181291.737795530003496,503.000000000000000,536533.410734992008656,181291.737795530003496,0.010164078785955,0.069738480697385,"33"
"Lansdowne Walk, Ladbroke Grove",524688.904461257974617,180485.631660390994512,504.000000000000000,524688.904461257974617,180485.631660390994512,0.004077368373699,0.038605230386052,"21"
"Percival Street, Finsbury",531750.781804546946660,182504.578755382011877,505.000000000000000,531750.781804546946660,182504.578755382011877,0.021562823911634,0.092154420921544,"22"
"Arlington Road, Camden Town",528722.207070708973333,183967.999629842001013,506.000000000000000,528722.207070708973333,183967.999629842001013,0.016503766032935,0.067247820672478,"24"
"New Fetter Lane, Holborn",531380.282385278958827,181528.488518856989685,507.000000000000000,531380.282385278958827,181528.488518856989685,0.065345312296601,0.134495641344956,"21"
"East India DLR, Blackwall",538732.295541301951744,180838.098200584005099,508.000000000000000,538732.295541301951744,180838.098200584005099,0.002465658024151,0.021170610211706,"51"
"Westminster Bridge Road, Elephant & Castle",531432.312526694033295,179418.284408286999678,509.000000000000000,531432.312526694033295,179418.284408286999678,0.007849361856445,0.026151930261519,"26"
"Gaywood  Street, Elephant & Castle",531696.313744726008736,179156.616713530995185,510.000000000000000,531696.313744726008736,179156.616713530995185,0.012800313966423,0.068493150684932,"45"
"Harford Street, Mile End",536135.450392129947431,182117.007844005012885,511.000000000000000,536135.450392129947431,182117.007844005012885,0.004300082021639,0.062266500622665,"23"
"Import Dock, Canary Wharf",537758.777118545025587,180406.375784192001447,512.000000000000000,537758.777118545025587,180406.375784192001447,0.013783664206118,0.070983810709838,"39"
"Watney Street, Shadwell",534954.647719593020156,180969.597429432003992,513.000000000000000,534954.647719593020156,180969.597429432003992,0.007989643355359,0.072229140722291,"27"
"Regent's Row , Haggerston",534471.673634783946909,183641.732797959004529,514.000000000000000,534471.673634783946909,183641.732797959004529,0.024732247741603,0.164383561643836,"24"
"Aberfeldy Street, Poplar",538489.237862820038572,181289.175085775990738,515.000000000000000,538489.237862820038572,181289.175085775990738,0.005410554680480,0.028642590286426,"16"
"Heron Quays DLR, Canary Wharf",537418.051748260040767,180045.815492705994984,516.000000000000000,537418.051748260040767,180045.815492705994984,0.009634014668951,0.029887920298879,"27"
"King Edward Street, St Pauls",532033.905803526984528,181391.135706970002502,517.000000000000000,532033.905803526984528,181391.135706970002502,0.053671193745513,0.095890410958904,"20"
"Page Street, Westminster",530082.356153717963025,178886.295090113009792,518.000000000000000,530082.356153717963025,178886.295090113009792,0.057812040826779,0.170610211706102,"24"
