index,finance,leisure,residence,restaurant,shopping,university
"Great Titchfield Street, Fitzrovia",0.00001,3,0.00001,5,2,0.00001
"Great Tower Street, Monument",5,8,5,18,19,0.00001
"Green Park Station, Mayfair",2,1,2,4,3,0.00001
"Green Street, Mayfair",2,5,3,4,3,0.00001
"Greenberry Street, St.John's Wood",0.00001,5,1,4,14,0.00001
"Greenland Road, Camden Town",5,3,0.00001,3,8,0.00001
"Greycoat Street , Westminster",0.00001,2,0.00001,2,2,0.00001
"Grosvenor Crescent, Belgravia",2,1,2,1,0.00001,0.00001
"Grosvenor Square, Mayfair",0.00001,10,4,6,9,1
"Grove End Road, St. John's Wood",0.00001,2,2,0.00001,0.00001,0.00001
"Guildhouse Street, Victoria",1,0.00001,10,1,0.00001,0.00001
"Guilford Street , Bloomsbury",0.00001,3,1,2,8,0.00001
"Gunmakers Lane, Old Ford",0.00001,4,0.00001,0.00001,1,0.00001
"Gwendwr Road, West Kensington",1,1,5,1,4,0.00001
"Haggerston Road, Haggerston",2,0.00001,1,0.00001,1,0.00001
"Hammersmith Road, Hammersmith",0.00001,4,0.00001,2,1,0.00001
"Hampstead Road, Euston",3,5,0.00001,2,2,0.00001
"Hampton Street, Walworth",0.00001,0.00001,0.00001,6,6,0.00001
"Handyside Street, King's Cross",0.00001,2,0.00001,2,8,0.00001
"Hansard Mews, Holland Park",1,1,0.00001,1,3,0.00001
"Harcourt Terrace, West Brompton",0.00001,0.00001,2,0.00001,0.00001,0.00001
"Hardwick Street, Clerkenwell",0.00001,3,2,2,1,0.00001
"Harford Street, Mile End",1,0.00001,1,0.00001,1,0.00001
"Harper Road, The Borough",0.00001,1,1,1,0.00001,0.00001
"Harriet Street, Knightsbridge",0.00001,1,0.00001,9,46,0.00001
"Harrington Square 1, Camden Town",0.00001,2,3,1,0.00001,0.00001
"Harris Academy, Bermondsey",0.00001,0.00001,0.00001,2,1,0.00001
"Harrowby Street, Marylebone",1,11,4,8,6,0.00001
"Hartington Road, Stockwell",0.00001,1,0.00001,0.00001,2,0.00001
"Hatton Garden, Holborn",7,0.00001,2,3,38,0.00001
"Hatton Wall, Holborn",0.00001,1,0.00001,5,12,0.00001
"Hawley Crescent, Camden Town",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Heath Road, Battersea",0.00001,1,0.00001,0.00001,1,0.00001
"Here East North, Queen Elizabeth Olympic Park",1,3,0.00001,0.00001,0.00001,1
"Hereford Road, Bayswater",1,1,0.00001,14,17,0.00001
"Hermitage Court, Wapping",0.00001,2,0.00001,0.00001,2,0.00001
"Heron Quays DLR, Canary Wharf",4,4,0.00001,8,0.00001,0.00001
"Hertford Road, De Beauvoir Town",0.00001,1,0.00001,3,0.00001,0.00001
"Hewison Street, Old Ford",1,1,2,1,1,0.00001
"Hibbert Street, Battersea",1,0.00001,0.00001,1,4,0.00001
"High Holborn , Covent Garden",0.00001,1,0.00001,1,1,0.00001
"Hinde Street, Marylebone",2,7,6,15,14,0.00001
"Holborn Circus, Holborn",1,2,1,1,0.00001,0.00001
"Holland Park, Kensington",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Hollybush Gardens, Bethnal Green",2,0.00001,0.00001,3,4,0.00001
"Holy Trinity Brompton, Knightsbridge",1,3,7,5,10,0.00001
